
 num     #instances         #bytes  class name
 111:           694          44416  com.intellij.psi.impl.source.tree.java.PsiExpressionListImpl
 112:          2753          44048  org.picocontainer.defaults.DefaultLifecycleStrategy
 113:          2753          44048  org.picocontainer.defaults.DelegatingComponentMonitor
 114:          1091          43640  com.intellij.openapi.editor.impl.RangeHighlighterImpl
 115:            92          43264  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 116:          1348          43136  sun.awt.X11.XAnyEvent
 117:           665          42560  com.intellij.openapi.extensions.impl.ExtensionPointImpl
 118:           658          42112  com.intellij.psi.impl.source.tree.CompositeElement
 119:            89          41296  com.intellij.util.ui.ButtonlessScrollBarUI$EmptyButton
 120:          2554          40864  com.intellij.util.containers.LockFreeCopyOnWriteArrayList
 121:          2525          40400  org.picocontainer.defaults.SimpleReference
 122:           996          39840  com.intellij.util.containers.ConcurrentHashMap$Segment
 123:           973          38920  com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl
 124:           606          38784  com.intellij.psi.impl.source.tree.java.PsiMethodCallExpressionImpl
 125:           294          38592  [F
 126:          1090          38168  [Ljava.lang.String;
 127:           748          37952  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
 128:          1563          37512  com.intellij.patterns.compiler.PatternCompilerImpl$Node
 129:          1552          37248  com.intellij.openapi.vfs.impl.local.FileWatcher$DirtyPaths
 130:           656          36736  scala.collection.immutable.Vector
 131:           897          35880  com.intellij.psi.impl.source.tree.java.PsiKeywordImpl
 132:           895          35800  org.apache.log4j.Logger
 133:           391          35792  [Ljava.util.WeakHashMap$Entry;
 134:          1098          35136  java.awt.Color
 135:          1457          34968  org.apache.log4j.CategoryKey
 136:           333          34632  sun.awt.image.IntegerInterleavedRaster
 137:           716          34368  gnu.trove.THashMap
 138:          2038          32608  java.util.LinkedHashSet
 139:          1358          32592  com.intellij.openapi.actionSystem.KeyboardShortcut
 140:          2000          32000  javax.swing.event.EventListenerList
 141:          1288          30912  com.intellij.openapi.actionSystem.impl.ProxyShortcutSet
 142:           748          29920  java.util.concurrent.ConcurrentHashMap$Segment
 143:           618          29664  java.util.Hashtable
 144:           905          28960  java.util.Vector
 145:            82          28864  com.intellij.ui.components.JBScrollPane$Corner
 146:          1190          28560  sun.reflect.NativeConstructorAccessorImpl
 147:           582          27936  com.intellij.util.containers.HashMap
 148:            70          27440  com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$1
 149:           675          27000  java.util.WeakHashMap$Entry
 150:          1113          26712  com.intellij.lang.LanguageExtensionPoint$1
 151:           656          26240  org.jetbrains.plugins.scala.lang.psi.types.nonvalue.Parameter
 152:           356          25632  java.awt.Font
 153:           316          25408  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
 154:           789          25248  com.intellij.openapi.components.impl.ServiceManagerImpl$MyComponentAdapter
 155:           392          25088  com.intellij.psi.impl.source.PsiTypeElementImpl
 156:          1567          25072  scala.Some
 157:          1551          24816  org.jetbrains.plugins.scala.compiler.FscServerLauncher$$anonfun$running$1
 158:          1551          24816  org.jetbrains.plugins.scala.compiler.FscServerLauncher$$anonfun$errors$1
 159:          1551          24816  org.jetbrains.plugins.scala.compiler.CompileServerLauncher$$anonfun$running$1
 160:          1551          24816  org.jetbrains.plugins.scala.compiler.FscServerLauncher$$anonfun$errors$2
 161:          1551          24816  org.jetbrains.plugins.scala.compiler.CompileServerLauncher$$anonfun$errors$1
 162:          1551          24816  org.jetbrains.plugins.scala.compiler.CompileServerLauncher$$anonfun$errors$2
 163:          1032          24768  com.intellij.openapi.editor.VisualPosition
 164:          1018          24432  com.intellij.util.containers.StripedLockIntObjectConcurrentHashMap$IntHashEntry
 165:           608          24320  com.intellij.psi.impl.source.tree.LeafPsiElement
 166:          1011          24264  com.intellij.codeInsight.daemon.HighlightDisplayKey
 167:           379          24256  com.intellij.psi.impl.source.tree.java.ModifierListElement
 168:          1008          24192  com.intellij.codeInspection.ex.InspectionProfileImpl$3
 169:           180          23640  [Z
 170:           490          23520  com.intellij.util.containers.ConcurrentHashMap
 171:           972          23328  com.intellij.codeInspection.ex.InspectionToolRegistrar$1
 172:           291          23280  com.intellij.util.io.PagedFileStorage
 173:           960          23040  com.intellij.psi.impl.cache.TypeInfo
 174:           711          22752  com.intellij.util.keyFMap.PairElementsFMap
 175:           467          22416  com.intellij.openapi.actionSystem.ActionStub
 176:           391          21896  com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl
 177:           383          21448  java.awt.BorderLayout
 178:           865          20760  com.intellij.openapi.util.IconLoader$CachedImageIcon
 179:           430          20640  com.intellij.psi.impl.java.stubs.impl.PsiParameterStubImpl
 180:            60          20640  com.intellij.ui.components.panels.NonOpaquePanel
 181:           150          20400  sun.font.TrueTypeFont
 182:           636          20352  java.util.AbstractList$Itr
 183:           419          20112  com.intellij.openapi.vfs.impl.FilePointerPartNode
 184:           353          19768  com.intellij.ide.projectView.PresentationData
 185:           411          19728  com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl
 186:          1225          19600  sun.reflect.DelegatingConstructorAccessorImpl
 187:           202          19392  sun.awt.image.ImageRepresentation
 188:           798          19376  [Ljava.beans.PropertyChangeListener;
 189:          1208          19328  java.util.HashMap$KeySet
 190:           391          18768  java.util.WeakHashMap
 191:           256          18432  sun.awt.image.BufImgSurfaceData
 192:             9          18168  [Lcom.intellij.psi.tree.IElementType;
 193:          1128          18048  java.lang.Character
 194:           562          17984  org.apache.log4j.ProvisionNode
 195:           659          17720  [Lcom.intellij.util.lang.Loader;
 196:           435          17400  com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey
 197:           434          17360  com.intellij.ui.JBColor
 198:           309          17304  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 199:           431          17240  com.intellij.openapi.editor.markup.AttributesFlyweight
 200:           430          17200  com.intellij.psi.impl.compiled.ClsTypeElementImpl
 201:           430          17200  java.lang.ref.Finalizer
 202:           716          17184  scala.collection.immutable.$colon$colon
 203:           700          16800  java.io.File
 204:           348          16704  java.awt.image.BufferedImage
 205:           522          16704  java.lang.ref.PhantomReference
 206:            48          16512  javax.swing.Box$Filler
 207:           344          16512  java.util.concurrent.FutureTask$Sync
